"Guid","CurrencyIsoCode","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
967b8e87-7079-4391-80f0-31246ad38c4e,USD,Refresh Prices,Refresh Prices,true,false,"#N/A",All,false,"#N/A",918.0,"#N/A","#N/A","#N/A",Refresh Prices,Quote Panel,RefreshQuotePrice,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
974e2795-eb20-40ee-8b41-8aef4ede11fd,USD,Edit Lines,Edit Lines,true,false,"#N/A",All,false,"#N/A",912.0,"#N/A","#N/A","#N/A",Edit Lines,Quote Panel,sb,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9e71aae1-e6fd-43f7-8bbd-574f3e0b5d86,USD,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,"#N/A",996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
a2cf67e9-d2c1-43f3-93e4-1a3163185df9,USD,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",916.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
aba34580-753f-46be-8f09-f7e7915785a7,USD,Email,Email,true,false,"#N/A",All,false,"#N/A",961.0,"#N/A","#N/A","#N/A",Email,Quote Document Panel,EmailDocument,Quote Document Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b62fabd1-ce26-4a6f-8be9-32131f5380a1,USD,View,View,true,false,"#N/A",All,false,"#N/A",960.0,"#N/A","#N/A","#N/A",View,Quote Document Panel,ViewDocument,Quote Document Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b96708dd-32af-47ca-97fd-927feb1c1da4,USD,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,"#N/A",999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
bdd3c839-50a5-49c9-92f7-1535fa3bc5bf,USD,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
bdf66e25-d7d7-435a-910d-2edbc3fd722e,USD,Clone with Related,Clone with Related,true,false,"#N/A",All,false,"#N/A",910.0,"#N/A","#N/A","#N/A",Clone with Related,Quote Panel,CloneLineItems,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
be5449aa-e6c0-49f0-be86-10da5faf1a58,USD,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,"#N/A",901.0,onAddFavorites,"#N/A","#N/A",Add Favorites,Quote/Group,"#N/A",Quote Line Editor,f5e844fe-441a-4415-a004-e086a191b36e,"#N/A","#N/A",Button,"#N/A","#N/A"
